Entry	Entry Name	Protein names	Gene Names	Length	Pathway	Gene Ontology (biological process)	Gene Ontology IDs
A0A433TXN9	A0A433TXN9_ELYCH	phenylalanine 4-monooxygenase (EC 1.14.16.1) (Phe-4-monooxygenase)	EGW08_005881	454	PATHWAY: Amino-acid degradation; L-phenylalanine degradation; acetoacetate and fumarate from L-phenylalanine: step 1/6. {ECO:0000256|ARBA:ARBA00005088}.	L-phenylalanine catabolic process [GO:0006559]	GO:0004505; GO:0005506; GO:0006559
A0A433TXP5	A0A433TXP5_ELYCH	Cell division control protein 42 homolog (EC 3.6.5.2)	EGW08_005974	191		anatomical structure morphogenesis [GO:0009653]; establishment or maintenance of cell polarity [GO:0007163]; positive regulation of cellular component organization [GO:0051130]; small GTPase mediated signal transduction [GO:0007264]	GO:0003925; GO:0005525; GO:0005737; GO:0005886; GO:0007163; GO:0007264; GO:0009653; GO:0043227; GO:0051130
A0A433TXQ2	A0A433TXQ2_ELYCH	Elongation of very long chain fatty acids protein (EC 2.3.1.199) (Very-long-chain 3-oxoacyl-CoA synthase)	EGW08_005834	424		fatty acid biosynthetic process [GO:0006633]	GO:0006633; GO:0009922; GO:0016020; GO:0102756
A0A433TXS3	A0A433TXS3_ELYCH	U3 small nucleolar ribonucleoprotein protein MPP10	EGW08_005910	741		rRNA processing [GO:0006364]	GO:0005732; GO:0006364; GO:0034457
A0A433TXS5	A0A433TXS5_ELYCH	Troponin T	EGW08_005839	395		regulation of muscle contraction [GO:0006937]	GO:0005861; GO:0006937
A0A433TXT1	A0A433TXT1_ELYCH	Lipase maturation factor	EGW08_005952	591		protein maturation [GO:0051604]	GO:0005789; GO:0051604
A0A433TXU5	A0A433TXU5_ELYCH	Low molecular weight phosphotyrosine protein phosphatase (LMW-PTP) (LMW-PTPase) (EC 3.1.3.2) (EC 3.1.3.48) (Low molecular weight cytosolic acid phosphatase)	EGW08_005859	159		protein dephosphorylation [GO:0006470]	GO:0003993; GO:0004726; GO:0005737; GO:0006470
A0A433TXV9	A0A433TXV9_ELYCH	PEST proteolytic signal-containing nuclear protein	EGW08_005883	186		cell cycle [GO:0007049]; protein ubiquitination [GO:0016567]	GO:0005634; GO:0007049; GO:0016567
A0A433TY00	A0A433TY00_ELYCH	Mitochondrial inner membrane protease subunit (EC 3.4.21.-)	EGW08_005855	161		signal peptide processing [GO:0006465]	GO:0004252; GO:0005743; GO:0006465
A0A433TY04	A0A433TY04_ELYCH	Phosphomevalonate kinase (EC 2.7.4.2)	EGW08_005765	121	PATHWAY: Isoprenoid biosynthesis; isopentenyl diphosphate biosynthesis via mevalonate pathway; isopentenyl diphosphate from (R)-mevalonate: step 2/3. {ECO:0000256|ARBA:ARBA00005017}.	cholesterol biosynthetic process [GO:0006695]; isopentenyl diphosphate biosynthetic process, mevalonate pathway [GO:0019287]; phosphorylation [GO:0016310]	GO:0004631; GO:0005524; GO:0005829; GO:0006695; GO:0016310; GO:0019287
A0A433TY28	A0A433TY28_ELYCH	BZIP domain-containing protein	EGW08_005726	942			GO:0003677; GO:0003700; GO:0005634
A0A433TY55	A0A433TY55_ELYCH	Metalloendopeptidase (EC 3.4.24.-)	EGW08_005806	74		proteolysis [GO:0006508]	GO:0004222; GO:0006508; GO:0008270
A0A433TY58	A0A433TY58_ELYCH	Serrate RNA effector molecule homolog	EGW08_005756	814		mRNA processing [GO:0006397]; RNA-mediated gene silencing [GO:0031047]	GO:0003676; GO:0005634; GO:0006397; GO:0031047
A0A433TY64	A0A433TY64_ELYCH	Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase)	EGW08_005780	644	PATHWAY: Protein modification; protein glycosylation. {ECO:0000256|RuleBase:RU361242}.	protein glycosylation [GO:0006486]	GO:0000139; GO:0006486; GO:0016757; GO:0030246
A0A433TYD7	A0A433TYD7_ELYCH	Phospholipase B-like (EC 3.1.1.-)	EGW08_005658	568		lipid catabolic process [GO:0016042]	GO:0004620; GO:0016042
A0A433TYD8	A0A433TYD8_ELYCH	Phosphotriesterase-related protein (Parathion hydrolase-related protein)	EGW08_005612	348		catabolic process [GO:0009056]	GO:0008270; GO:0009056; GO:0016788
A0A433TYE3	A0A433TYE3_ELYCH	2'-phosphotransferase (EC 2.7.1.160)	EGW08_005663	239			GO:0000215
A0A433TYE5	A0A433TYE5_ELYCH	Glucose-6-phosphatase (EC 3.1.3.9)	EGW08_005720	353	PATHWAY: Carbohydrate biosynthesis; gluconeogenesis. {ECO:0000256|ARBA:ARBA00004742, ECO:0000256|PIRNR:PIRNR000905}.	gluconeogenesis [GO:0006094]	GO:0004346; GO:0005789; GO:0006094
A0A433TYG4	A0A433TYG4_ELYCH	Phosphatidylinositol-glycan-specific phospholipase D (EC 3.1.4.50) (Glycosyl-phosphatidylinositol-specific phospholipase D)	EGW08_005629	858			GO:0004621; GO:0005576
A0A433TYI9	A0A433TYI9_ELYCH	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 (Complex I-B14.5a) (NADH-ubiquinone oxidoreductase subunit B14.5a)	EGW08_005636	115		ATP synthesis coupled electron transport [GO:0042773]	GO:0005743; GO:0042773; GO:0070469
A0A433TYJ0	A0A433TYJ0_ELYCH	Homeobox domain-containing protein	EGW08_005580	618			GO:0000981; GO:0003677; GO:0005634
A0A433TYL0	A0A433TYL0_ELYCH	G-protein coupled receptors family 1 profile domain-containing protein	EGW08_005591	506			GO:0004930; GO:0016020
A0A433TYM0	A0A433TYM0_ELYCH	TATA box-binding protein-associated factor RNA polymerase I subunit B (TATA box-binding protein-associated factor 1B)	EGW08_005606	631			GO:0001164; GO:0046872; GO:0070860
A0A433TYS3	A0A433TYS3_ELYCH	F-actin monooxygenase (EC 1.14.13.225)	EGW08_005524	2707			GO:0003779; GO:0004497; GO:0005737; GO:0046872; GO:0071949
A0A433TYU1	A0A433TYU1_ELYCH	T-box domain-containing protein	EGW08_005542	777		positive regulation of DNA-templated transcription [GO:0045893]	GO:0000978; GO:0003700; GO:0005634; GO:0045893
A0A433TYU6	A0A433TYU6_ELYCH	Innexin	inx EGW08_005520	394		monoatomic ion transport [GO:0006811]	GO:0005886; GO:0005921; GO:0006811
A0A433TYU9	A0A433TYU9_ELYCH	leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase)	EGW08_005522	1184		leucyl-tRNA aminoacylation [GO:0006429]	GO:0002161; GO:0004823; GO:0005524; GO:0006429
A0A433TYW3	A0A433TYW3_ELYCH	ATP synthase subunit beta (EC 7.1.2.2)	EGW08_005486	523			GO:0005524; GO:0045261; GO:0046933; GO:0046961
A0A433TYW9	A0A433TYW9_ELYCH	Lon protease homolog (EC 3.4.21.-)	EGW08_005475	1085		protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]	GO:0004176; GO:0004252; GO:0005524; GO:0005759; GO:0006515; GO:0016887
A0A433TYX5	A0A433TYX5_ELYCH	Phosphodiesterase (EC 3.1.4.-)	EGW08_005473	482		signal transduction [GO:0007165]	GO:0004114; GO:0007165; GO:0046872
A0A433TYZ9	A0A433TYZ9_ELYCH	Metalloendopeptidase (EC 3.4.24.-)	EGW08_005442	436		proteolysis [GO:0006508]	GO:0004222; GO:0006508; GO:0008270; GO:0016020
A0A433TZ10	A0A433TZ10_ELYCH	guanylate cyclase (EC 4.6.1.2)	EGW08_005455	481		intracellular signal transduction [GO:0035556]	GO:0004383; GO:0016020; GO:0035556
A0A433TZ17	A0A433TZ17_ELYCH	tRNA (guanine(10)-N2)-methyltransferase homolog (tRNA guanosine-2'-O-methyltransferase TRM11 homolog)	EGW08_005403	479		ncRNA processing [GO:0034470]; RNA methylation [GO:0001510]	GO:0001510; GO:0003676; GO:0008168; GO:0034470
A0A433TZ26	A0A433TZ26_ELYCH	Protein kinase domain-containing protein	EGW08_005420	375		protein phosphorylation [GO:0006468]	GO:0004674; GO:0005524; GO:0006468
A0A433TZ38	A0A433TZ38_ELYCH	Cadherin domain-containing protein	EGW08_005423	1316		homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	GO:0005509; GO:0005886; GO:0007156
A0A433TZ44	A0A433TZ44_ELYCH	Urea-proton symporter DUR3	EGW08_005427	817			GO:0015204; GO:0016020
A0A433TZ47	A0A433TZ47_ELYCH	Protein kinase domain-containing protein	EGW08_005421	313		protein phosphorylation [GO:0006468]	GO:0004674; GO:0005524; GO:0006468
A0A433TZ51	A0A433TZ51_ELYCH	Tubulin beta chain	EGW08_005393	445		microtubule-based process [GO:0007017]	GO:0003924; GO:0005200; GO:0005525; GO:0005874; GO:0007017
A0A433TZ63	A0A433TZ63_ELYCH	Phosphatidylinositol glycan anchor biosynthesis class U protein	EGW08_005396	439	PATHWAY: Glycolipid biosynthesis; glycosylphosphatidylinositol-anchor biosynthesis. {ECO:0000256|ARBA:ARBA00004687}.	attachment of GPI anchor to protein [GO:0016255]	GO:0016255; GO:0042765
A0A433TZ82	A0A433TZ82_ELYCH	Protein transport protein sec16	EGW08_005365	1959		autophagy [GO:0006914]; COPII vesicle coating [GO:0048208]; protein transport [GO:0015031]	GO:0000139; GO:0006914; GO:0015031; GO:0048208; GO:0070971
A0A433TZC9	A0A433TZC9_ELYCH	GPI ethanolamine phosphate transferase 2	EGW08_005264	1112	PATHWAY: Glycolipid biosynthesis; glycosylphosphatidylinositol-anchor biosynthesis. {ECO:0000256|ARBA:ARBA00004687}.	GPI anchor biosynthetic process [GO:0006506]	GO:0005789; GO:0006506; GO:0051377
A0A433TZF5	A0A433TZF5_ELYCH	Fork-head domain-containing protein	EGW08_005288	817			GO:0003700; GO:0005634; GO:0043565
A0A433TZJ4	A0A433TZJ4_ELYCH	Serine/threonine-protein kinase PRP4 homolog (EC 2.7.11.1) (PRP4 pre-mRNA-processing factor 4 homolog)	EGW08_005303	1221		mRNA cis splicing, via spliceosome [GO:0045292]; protein phosphorylation [GO:0006468]	GO:0004674; GO:0005524; GO:0006468; GO:0045292
A0A433TZL7	A0A433TZL7_ELYCH	Malate dehydrogenase (EC 1.1.1.37)	EGW08_005261	331		malate metabolic process [GO:0006108]; tricarboxylic acid cycle [GO:0006099]	GO:0006099; GO:0006108; GO:0030060
A0A433TZM0	A0A433TZM0_ELYCH	Fanconi-associated nuclease (EC 3.1.4.1)	EGW08_005182	644		interstrand cross-link repair [GO:0036297]	GO:0003676; GO:0004528; GO:0005634; GO:0036297; GO:0046872
A0A433TZM6	A0A433TZM6_ELYCH	Transglutaminase-like domain-containing protein	EGW08_005197	620		peptide cross-linking [GO:0018149]	GO:0003810; GO:0018149
A0A433TZM8	A0A433TZM8_ELYCH	RING-type domain-containing protein	EGW08_005186	825		protein ubiquitination [GO:0016567]	GO:0004842; GO:0016020; GO:0016567; GO:0046872
A0A433TZN8	A0A433TZN8_ELYCH	Transcription and mRNA export factor ENY2 (Enhancer of yellow 2 transcription factor homolog)	EGW08_005196	112		chromatin organization [GO:0006325]; histone deubiquitination [GO:0016578]; mRNA export from nucleus [GO:0006406]; protein transport [GO:0015031]; transcription elongation by RNA polymerase II [GO:0006368]	GO:0000124; GO:0003713; GO:0005643; GO:0005654; GO:0006325; GO:0006368; GO:0006406; GO:0015031; GO:0016578; GO:0070390; GO:0071819
A0A433TZQ1	A0A433TZQ1_ELYCH	E3 ubiquitin-protein ligase E3D (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase E3D) (UbcH10-binding protein with a HECT-like domain) (Ubiquitin-conjugating enzyme E2C-binding protein)	EGW08_005183	510			
A0A433TZR2	A0A433TZR2_ELYCH	Protein kinase domain-containing protein	EGW08_005193	430		protein phosphorylation [GO:0006468]	GO:0004674; GO:0005524; GO:0006468
A0A433TZS0	A0A433TZS0_ELYCH	Dolichyl-phosphate-mannose--protein mannosyltransferase (EC 2.4.1.109)	EGW08_005157	777	PATHWAY: Protein modification; protein glycosylation. {ECO:0000256|ARBA:ARBA00004922, ECO:0000256|RuleBase:RU367007}.		GO:0004169; GO:0005789
A0A433TZS7	A0A433TZS7_ELYCH	Protein kinase domain-containing protein	EGW08_005163	880		protein phosphorylation [GO:0006468]	GO:0004672; GO:0005524; GO:0006468
A0A433TZU3	A0A433TZU3_ELYCH	protein kinase C (EC 2.7.11.13)	EGW08_005169	843		protein phosphorylation [GO:0006468]	GO:0004698; GO:0005524; GO:0006468; GO:0016020
A0A433TZW6	A0A433TZW6_ELYCH	Digestive organ expansion factor homolog	EGW08_005176	766		rRNA processing [GO:0006364]	GO:0005730; GO:0006364; GO:0034511
A0A433TZZ0	A0A433TZZ0_ELYCH	LEM domain-containing protein	EGW08_005069	587			GO:0005634; GO:0012505; GO:0016020; GO:0031967
A0A433U016	A0A433U016_ELYCH	6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)	EGW08_005034	242	PATHWAY: Carbohydrate degradation; pentose phosphate pathway; D-ribulose 5-phosphate from D-glucose 6-phosphate (oxidative stage): step 2/3. {ECO:0000256|RuleBase:RU365095}.	carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt [GO:0006098]	GO:0005975; GO:0006098; GO:0017057
A0A433U065	A0A433U065_ELYCH	Glutamate receptor	EGW08_004996	942			GO:0004970; GO:0045211
A0A433U067	A0A433U067_ELYCH	Bactericidal permeability-increasing protein	EGW08_004981	480			GO:0005615; GO:0008289
A0A433U091	A0A433U091_ELYCH	TAFII55 protein conserved region domain-containing protein	EGW08_004988	355		transcription initiation at RNA polymerase II promoter [GO:0006367]	GO:0005669; GO:0006367; GO:0016020
A0A433U0F9	A0A433U0F9_ELYCH	Nuclear pore complex protein Nup98-Nup96	EGW08_004945	1843		mRNA transport [GO:0051028]; protein transport [GO:0015031]	GO:0005643; GO:0015031; GO:0017056; GO:0031965; GO:0051028
A0A433U0H7	A0A433U0H7_ELYCH	Nuclear receptor domain-containing protein	EGW08_005000	562			GO:0003700; GO:0005634; GO:0008270; GO:0043565
A0A433U0H9	A0A433U0H9_ELYCH	Estrogen receptor	EGW08_004935	338			GO:0003700; GO:0005634; GO:0008270; GO:0043565
A0A433U0I5	A0A433U0I5_ELYCH	Fork-head domain-containing protein	EGW08_004869	736			GO:0003700; GO:0005634; GO:0016020; GO:0043565
A0A433U0J0	A0A433U0J0_ELYCH	Protein kinase domain-containing protein	EGW08_004875	1084		protein phosphorylation [GO:0006468]; regulation of response to stimulus [GO:0048583]	GO:0004672; GO:0005524; GO:0006468; GO:0048583
A0A433U0L0	A0A433U0L0_ELYCH	Neurotransmitter-gated ion-channel ligand-binding domain-containing protein	EGW08_004835	461			GO:0004888; GO:0022848; GO:0045211
A0A433U0L4	A0A433U0L4_ELYCH	Ribosomal RNA-processing protein 8	EGW08_004968	707		methylation [GO:0032259]	GO:0005730; GO:0008168; GO:0032259
A0A433U0M4	A0A433U0M4_ELYCH	Fucosyltransferase (EC 2.4.1.-)	EGW08_004899	336	PATHWAY: Protein modification; protein glycosylation. {ECO:0000256|ARBA:ARBA00004922}.	protein glycosylation [GO:0006486]	GO:0006486; GO:0008417; GO:0032580
A0A433U0Q0	A0A433U0Q0_ELYCH	Coatomer subunit epsilon (Epsilon-coat protein)	EGW08_004796	255		retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	GO:0005198; GO:0005794; GO:0006890; GO:0016020; GO:0031410
A0A433U0Q3	A0A433U0Q3_ELYCH	Cyclic nucleotide-binding domain-containing protein	EGW08_004809	393		regulation of protein phosphorylation [GO:0001932]	GO:0001932; GO:0005952; GO:0008603; GO:0030552
A0A433U0R8	A0A433U0R8_ELYCH	Neurotransmitter-gated ion-channel ligand-binding domain-containing protein	EGW08_004836	457			GO:0004888; GO:0005230; GO:0016020
A0A433U0S1	A0A433U0S1_ELYCH	DNA ligase (EC 6.5.1.1)	EGW08_004854	1097		DNA biosynthetic process [GO:0071897]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]	GO:0003677; GO:0003910; GO:0005524; GO:0006260; GO:0006281; GO:0006310; GO:0071897
A0A433U0T0	A0A433U0T0_ELYCH	Mediator of RNA polymerase II transcription subunit 14 (Mediator complex subunit 14)	EGW08_004767	261		regulation of transcription by RNA polymerase II [GO:0006357]	GO:0003712; GO:0006357; GO:0016020; GO:0016592
A0A433U0T9	A0A433U0T9_ELYCH	Mitochondrial fission factor	EGW08_004728	235		mitochondrial fission [GO:0000266]; positive regulation of mitochondrial fission [GO:0090141]; positive regulation of protein targeting to membrane [GO:0090314]	GO:0000266; GO:0005741; GO:0005777; GO:0090141; GO:0090314
A0A433U0U0	A0A433U0U0_ELYCH	Homeobox domain-containing protein	EGW08_004795	583		anatomical structure development [GO:0048856]	GO:0000981; GO:0003677; GO:0005634; GO:0048856
A0A433U0Y0	A0A433U0Y0_ELYCH	Laminin G domain-containing protein	EGW08_004776	2456			GO:0016020
A0A433U0Y1	A0A433U0Y1_ELYCH	Sodium channel modifier 1	EGW08_004755	347		mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	GO:0005681; GO:0006397; GO:0008380; GO:0016607; GO:0046872
A0A433U0Z1	A0A433U0Z1_ELYCH	Photoreceptor-specific nuclear receptor	EGW08_004783	358			GO:0003700; GO:0005634; GO:0008270; GO:0043565
A0A433U101	A0A433U101_ELYCH	RNA helicase (EC 3.6.4.13)	EGW08_004788	782			GO:0003724; GO:0005524; GO:0005739; GO:0016817
A0A433U107	A0A433U107_ELYCH	alpha-1,2-Mannosidase (EC 3.2.1.-)	EGW08_004803	604		carbohydrate metabolic process [GO:0005975]; endoplasmic reticulum mannose trimming [GO:1904380]; mannose trimming involved in glycoprotein ERAD pathway [GO:1904382]	GO:0004571; GO:0005509; GO:0005975; GO:0016020; GO:0044322; GO:1904380; GO:1904382
A0A433U110	A0A433U110_ELYCH	Beta-hexosaminidase (EC 3.2.1.52)	EGW08_004741	513		carbohydrate metabolic process [GO:0005975]	GO:0004563; GO:0005975; GO:0102148
A0A433U126	A0A433U126_ELYCH	SAM-dependent MTase RsmB/NOP-type domain-containing protein	EGW08_004660	404		RNA methylation [GO:0001510]	GO:0001510; GO:0003723; GO:0008168
A0A433U131	A0A433U131_ELYCH	CCR4-NOT transcription complex subunit 4	EGW08_004756	899			GO:0003723; GO:0004842; GO:0030014; GO:0046872
A0A433U132	A0A433U132_ELYCH	Protein kinase domain-containing protein	EGW08_004823	1539		protein phosphorylation [GO:0006468]	GO:0004383; GO:0004672; GO:0005524; GO:0006468; GO:0016020
A0A433U181	A0A433U181_ELYCH	PDZ domain-containing protein	EGW08_004644	971		nervous system development [GO:0007399]	GO:0005737; GO:0005856; GO:0007399
A0A433U187	A0A433U187_ELYCH	Protein CASC3	EGW08_004646	1130		mRNA processing [GO:0006397]; mRNA transport [GO:0051028]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; regulation of translation [GO:0006417]; RNA splicing [GO:0008380]	GO:0000184; GO:0003729; GO:0006397; GO:0006417; GO:0008380; GO:0016607; GO:0035145; GO:0042995; GO:0048471; GO:0051028
A0A433U197	A0A433U197_ELYCH	Diacylglycerol kinase (DAG kinase) (EC 2.7.1.107)	EGW08_004682	1293		lipid phosphorylation [GO:0046834]; protein kinase C-activating G protein-coupled receptor signaling pathway [GO:0007205]	GO:0004143; GO:0005524; GO:0007205; GO:0046834
A0A433U1D5	A0A433U1D5_ELYCH	Uncharacterized protein	EGW08_004566	1252		small GTPase mediated signal transduction [GO:0007264]	GO:0000786; GO:0003677; GO:0005085; GO:0007264; GO:0030527; GO:0046982
A0A433U1D7	A0A433U1D7_ELYCH	Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12)	EGW08_004652	328		protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0004843; GO:0006511; GO:0016579
A0A433U1G9	A0A433U1G9_ELYCH	Visual system homeobox 2 (Ceh-10 homeodomain-containing homolog) (Homeobox protein CHX10)	EGW08_004596	173		response to stimulus [GO:0050896]; visual perception [GO:0007601]	GO:0003677; GO:0005634; GO:0007601; GO:0050896
A0A433U1H9	A0A433U1H9_ELYCH	Uncharacterized protein	EGW08_004580	474		protein folding in endoplasmic reticulum [GO:0034975]	GO:0005789; GO:0015035; GO:0016972; GO:0034975; GO:0071949
A0A433U1I5	A0A433U1I5_ELYCH	Homeobox protein CHX10	EGW08_004595	601			GO:0000981; GO:0003677; GO:0005634
A0A433U1J6	A0A433U1J6_ELYCH	AN1-type domain-containing protein	EGW08_004518	949			GO:0003677; GO:0004386; GO:0005524; GO:0008270
A0A433U1K6	A0A433U1K6_ELYCH	C2H2-type domain-containing protein	EGW08_004527	762		regulation of transcription by RNA polymerase II [GO:0006357]	GO:0000977; GO:0005634; GO:0006357
A0A433U1P5	A0A433U1P5_ELYCH	Actin maturation protease (Actin aminopeptidase ACTMAP)	EGW08_004591	333		proteolysis [GO:0006508]	GO:0004177; GO:0006508
A0A433U1P9	A0A433U1P9_ELYCH	Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase)	EGW08_004488	571	PATHWAY: Protein modification; protein glycosylation. {ECO:0000256|RuleBase:RU361242}.	protein glycosylation [GO:0006486]	GO:0000139; GO:0006486; GO:0016757; GO:0030246
A0A433U1R8	A0A433U1R8_ELYCH	Phosphorylase b kinase regulatory subunit	EGW08_004529	1127	PATHWAY: Glycan biosynthesis; glycogen metabolism. {ECO:0000256|ARBA:ARBA00005131, ECO:0000256|RuleBase:RU364123}.	glycogen metabolic process [GO:0005977]	GO:0005516; GO:0005886; GO:0005977
A0A433U1S5	A0A433U1S5_ELYCH	Golgi SNAP receptor complex member 2	EGW08_004502	216		protein transport [GO:0015031]; vesicle-mediated transport [GO:0016192]	GO:0005484; GO:0005794; GO:0015031; GO:0016020; GO:0016192
A0A433U1X1	A0A433U1X1_ELYCH	RNase H type-1 domain-containing protein	EGW08_004421	406			GO:0003676; GO:0004523; GO:0015293; GO:0016020
A0A433U1Y8	A0A433U1Y8_ELYCH	Nuclear receptor domain-containing protein	EGW08_004370	1762			GO:0004879; GO:0005634; GO:0008270; GO:0043565
A0A433U203	A0A433U203_ELYCH	Homeobox domain-containing protein	EGW08_004443	377			GO:0000981; GO:0003677; GO:0005634
A0A433U209	A0A433U209_ELYCH	Histidine kinase/HSP90-like ATPase domain-containing protein	EGW08_004394	726			GO:0005524; GO:0016887; GO:0051082; GO:0140662
A0A433U217	A0A433U217_ELYCH	L-serine ammonia-lyase (EC 4.3.1.17)	EGW08_004349	337		amino acid metabolic process [GO:0006520]	GO:0003941; GO:0006520; GO:0016020; GO:0030170
A0A433U229	A0A433U229_ELYCH	Ribosomal protein S6 kinase (EC 2.7.11.1)	EGW08_004359	526		protein phosphorylation [GO:0006468]; signal transduction [GO:0007165]	GO:0004674; GO:0005524; GO:0006468; GO:0007165; GO:0106310
A0A433U250	A0A433U250_ELYCH	V-ATPase proteolipid subunit C-like domain-containing protein	EGW08_004427	228			GO:0033179; GO:0046961
A0A433U262	A0A433U262_ELYCH	Phosphatidylinositol-4,5-bisphosphate 4-phosphatase (EC 3.1.3.78)	EGW08_004327	253		phosphatidylinositol dephosphorylation [GO:0046856]	GO:0005765; GO:0031902; GO:0034597; GO:0046856
A0A433U278	A0A433U278_ELYCH	chitin synthase (EC 2.4.1.16)	EGW08_004339	2302			GO:0003774; GO:0003779; GO:0004100; GO:0005524; GO:0016020; GO:0016459
A0A433U2C3	A0A433U2C3_ELYCH	mRNA guanylyltransferase (EC 2.7.7.50)	EGW08_004366	524		7-methylguanosine mRNA capping [GO:0006370]; protein dephosphorylation [GO:0006470]	GO:0004484; GO:0005524; GO:0005525; GO:0006370; GO:0006470; GO:0008138; GO:0140818
A0A433U2G4	A0A433U2G4_ELYCH	RING-type E3 ubiquitin transferase (EC 2.3.2.27)	EGW08_004273	651	PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906}.	protein ubiquitination [GO:0016567]	GO:0016567; GO:0046872; GO:0061630
A0A433U2I1	A0A433U2I1_ELYCH	RNA polymerase III subunit Rpc25 domain-containing protein	EGW08_004284	214		DNA-templated transcription initiation [GO:0006352]	GO:0000428; GO:0003677; GO:0003899; GO:0005634; GO:0006352
A0A433U2J7	A0A433U2J7_ELYCH	Laminin EGF-like domain-containing protein	EGW08_004203	2601			GO:0005604
A0A433U2L0	A0A433U2L0_ELYCH	Fucosyltransferase (EC 2.4.1.-)	EGW08_004211	453	PATHWAY: Protein modification; protein glycosylation. {ECO:0000256|ARBA:ARBA00004922}.	protein glycosylation [GO:0006486]	GO:0006486; GO:0008417; GO:0032580
A0A433U2Q1	A0A433U2Q1_ELYCH	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Glu-AdT subunit C) (EC 6.3.5.-)	EGW08_004172	182		glutaminyl-tRNAGln biosynthesis via transamidation [GO:0070681]; mitochondrial translation [GO:0032543]; regulation of translational fidelity [GO:0006450]	GO:0005524; GO:0005739; GO:0006450; GO:0030956; GO:0032543; GO:0050567; GO:0070681
A0A433U2V8	A0A433U2V8_ELYCH	Chloride channel protein	EGW08_004151	707			GO:0005247; GO:0016020
A0A433U2W7	A0A433U2W7_ELYCH	leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase)	EGW08_004161	730		leucyl-tRNA aminoacylation [GO:0006429]	GO:0004823; GO:0005524; GO:0006429
A0A433U2X1	A0A433U2X1_ELYCH	Protein kinase domain-containing protein	EGW08_004115	736		protein phosphorylation [GO:0006468]	GO:0004672; GO:0005524; GO:0006468
A0A433U2X5	A0A433U2X5_ELYCH	Dynein heavy chain AAA 5 extension domain-containing protein	EGW08_004068	490		microtubule-based movement [GO:0007018]	GO:0007018; GO:0008569; GO:0030286; GO:0045505; GO:0051959
A0A433U2X6	A0A433U2X6_ELYCH	RING-type domain-containing protein	EGW08_004074	635			GO:0005737; GO:0046872
A0A433U2Y7	A0A433U2Y7_ELYCH	Dynein heavy chain hydrolytic ATP-binding dynein motor region domain-containing protein	EGW08_004067	468		microtubule-based movement [GO:0007018]	GO:0005524; GO:0007018; GO:0008569; GO:0030286; GO:0045505; GO:0051959
A0A433U2Z3	A0A433U2Z3_ELYCH	T-box domain-containing protein	EGW08_004026	684		positive regulation of DNA-templated transcription [GO:0045893]	GO:0000978; GO:0003700; GO:0005634; GO:0045893
A0A433U307	A0A433U307_ELYCH	Ion transport domain-containing protein	EGW08_004082	864		regulation of monoatomic ion transmembrane transport [GO:0034765]	GO:0005245; GO:0005891; GO:0034765; GO:0046872
A0A433U310	A0A433U310_ELYCH	Cytochrome P450	EGW08_004025	534			GO:0004497; GO:0005506; GO:0016020; GO:0016705; GO:0020037
A0A433U312	A0A433U312_ELYCH	protein-tyrosine-phosphatase (EC 3.1.3.48)	EGW08_004049	852		protein dephosphorylation [GO:0006470]	GO:0004725; GO:0006470; GO:0016020
A0A433U332	A0A433U332_ELYCH	Dynein heavy chain tail domain-containing protein	EGW08_004065	486		microtubule-based movement [GO:0007018]	GO:0007018; GO:0008569; GO:0030286; GO:0045505; GO:0051959
A0A433U341	A0A433U341_ELYCH	Clathrin light chain	EGW08_003997	250		intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	GO:0005198; GO:0006886; GO:0016192; GO:0030130; GO:0030132
A0A433U354	A0A433U354_ELYCH	Tubulin alpha chain	EGW08_003999	452		microtubule-based process [GO:0007017]	GO:0005200; GO:0005525; GO:0005874; GO:0007017; GO:0016787
A0A433U365	A0A433U365_ELYCH	CKK domain-containing protein	EGW08_004009	802		neuron projection development [GO:0031175]	GO:0005516; GO:0005874; GO:0008017; GO:0030507; GO:0031175
