Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs
A0A433UDS1	unreviewed	A0A433UDS1_ELYCH	Sulfotransferase domain-containing protein	EGW08_000188	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	355	GO:0008146; GO:0016020
A0A433UDY0	unreviewed	A0A433UDY0_ELYCH	ELMO domain-containing protein	EGW08_000185	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	747	GO:0005737; GO:0006909; GO:0006915; GO:0017124
A0A433UDZ1	unreviewed	A0A433UDZ1_ELYCH	MHD domain-containing protein	EGW08_000131	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	877	GO:0005905
A0A433UDZ3	unreviewed	A0A433UDZ3_ELYCH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	EGW08_000187	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	224	GO:0004674; GO:0005524; GO:0006468; GO:0008033
A0A433UE07	unreviewed	A0A433UE07_ELYCH	Cadherin domain-containing protein	EGW08_000269	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	1404	GO:0005509; GO:0005886; GO:0007156
A0A433UE25	unreviewed	A0A433UE25_ELYCH	U4/U6 small nuclear ribonucleoprotein Prp31 (Pre-mRNA-processing factor 31)	EGW08_000225	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	509	GO:0000244; GO:0003723; GO:0005681; GO:0046540
A0A433UE40	unreviewed	A0A433UE40_ELYCH	Pyruvate dehydrogenase E1 component subunit alpha (EC 1.2.4.1)	EGW08_000245	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	388	GO:0004739; GO:0006086; GO:0043231
A0A433UE45	unreviewed	A0A433UE45_ELYCH	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	EGW08_000161	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	171	GO:0000413; GO:0003755; GO:0006457
A0A433UE48	unreviewed	A0A433UE48_ELYCH	Dystonin	EGW08_000145	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	1175	GO:0005509; GO:0005737; GO:0005856; GO:0008017; GO:0016020; GO:0045104
A0A433UE52	unreviewed	A0A433UE52_ELYCH	Arginase (EC 3.5.3.1)	EGW08_000093	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	390	GO:0000050; GO:0004053; GO:0006525; GO:0046872
A0A433UE62	unreviewed	A0A433UE62_ELYCH	FH2 domain-containing protein	EGW08_000092	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	1006	GO:0003779; GO:0030036; GO:0031267
A0A433UE71	unreviewed	A0A433UE71_ELYCH	Glucose-6-phosphate isomerase (EC 5.3.1.9)	EGW08_000226	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	555	GO:0004347; GO:0006094; GO:0006096; GO:0097367; GO:1901135
A0A433UE96	unreviewed	A0A433UE96_ELYCH	G-protein coupled receptors family 1 profile domain-containing protein	EGW08_000169	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	554	GO:0004930; GO:0016020
A0A433UEB2	unreviewed	A0A433UEB2_ELYCH	N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase)	EGW08_000044	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	335	GO:0000408; GO:0002949; GO:0005634; GO:0005737; GO:0046872; GO:0061711
A0A433UEB8	unreviewed	A0A433UEB8_ELYCH	Multidrug resistance-associated protein 7	EGW08_000097	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	1594	GO:0005524; GO:0016020; GO:0016887; GO:0140359
A0A433UEC5	unreviewed	A0A433UEC5_ELYCH	PAT complex subunit CCDC47 (Coiled-coil domain-containing protein 47)	EGW08_000107	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	474	GO:0005509; GO:0030867; GO:0032469
A0A433UEH5	unreviewed	A0A433UEH5_ELYCH	Cytoplasmic tRNA 2-thiolation protein 2	EGW08_000027	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	445	GO:0000049; GO:0002098; GO:0005737; GO:0016779; GO:0032447; GO:0034227
A0A433UEI4	unreviewed	A0A433UEI4_ELYCH	Hexosyltransferase (EC 2.4.1.-)	EGW08_000055	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	382	GO:0000139; GO:0006486; GO:0016758
A0A433UEI5	unreviewed	A0A433UEI5_ELYCH	RNA uridylyltransferase (EC 2.7.7.52)	EGW08_000062	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	377	GO:0016070; GO:0016779
B2D6I9	unreviewed	B2D6I9_ELYCH	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	nad5	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	560	GO:0005739; GO:0008137; GO:0016020; GO:0042773
B2D6J0	unreviewed	B2D6J0_ELYCH	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2)	nad1	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	304	GO:0005743; GO:0008137
B2D6J2	unreviewed	B2D6J2_ELYCH	Cytochrome b	cob	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	373	GO:0005743; GO:0008121; GO:0022904; GO:0045275; GO:0046872
B2D6J3	unreviewed	B2D6J3_ELYCH	Cytochrome c oxidase subunit 2	coxII	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	227	GO:0004129; GO:0005507; GO:0005743; GO:0070469
B2D6J5	unreviewed	B2D6J5_ELYCH	ATP synthase subunit a	ATP6	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	219	GO:0005743; GO:0015078; GO:0015986; GO:0045263
B2D6J6	unreviewed	B2D6J6_ELYCH	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2)	nad3	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	114	GO:0008137; GO:0031966; GO:0070469
B2D6J7	unreviewed	B2D6J7_ELYCH	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2)	nad4	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	431	GO:0008137; GO:0031966; GO:0042773; GO:0070469
B2D6J8	unreviewed	B2D6J8_ELYCH	Cytochrome c oxidase subunit 3	coxIII	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	262	GO:0004129; GO:0005739; GO:0016020; GO:0019646
B2D6J9	unreviewed	B2D6J9_ELYCH	NADH:ubiquinone reductase (H(+)-translocating) (EC 7.1.1.2)	nad2	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	313	GO:0005739; GO:0008137; GO:0016020
B7T1Q5	unreviewed	B7T1Q5_VAULI	Photosystem I reaction center subunit XII (PSI-M)	psaM	Vaucheria litorea (Yellow-green alga)	30	GO:0009522; GO:0009535; GO:0015979
B7T1Q6	unreviewed	B7T1Q6_VAULI	Mg-protoporphyrin IX chelatase (EC 6.6.1.1)	chlI	Vaucheria litorea (Yellow-green alga)	342	GO:0005524; GO:0009507; GO:0015979; GO:0015995; GO:0016851
B7T1Q7	unreviewed	B7T1Q7_VAULI	Large ribosomal subunit protein bL33c	rpl33	Vaucheria litorea (Yellow-green alga)	64	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:1990904
B7T1Q8	unreviewed	B7T1Q8_VAULI	Small ribosomal subunit protein bS18c	rps18	Vaucheria litorea (Yellow-green alga)	92	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843; GO:1990904
B7T1Q9	unreviewed	B7T1Q9_VAULI	Photosystem I assembly protein Ycf3	ycf3	Vaucheria litorea (Yellow-green alga)	173	GO:0009535; GO:0015979
B7T1R1	unreviewed	B7T1R1_VAULI	ATP synthase epsilon chain, chloroplastic (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)	atpE	Vaucheria litorea (Yellow-green alga)	135	GO:0005524; GO:0009535; GO:0045261; GO:0046933
B7T1R3	unreviewed	B7T1R3_VAULI	Cytochrome f	petA	Vaucheria litorea (Yellow-green alga)	321	GO:0005506; GO:0009055; GO:0009535; GO:0015979; GO:0020037
B7T1R7	reviewed	ATPD_VAULI	ATP synthase subunit delta, chloroplastic (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta)	atpD	Vaucheria litorea (Yellow-green alga)	201	GO:0009535; GO:0045261; GO:0046933
B7T1R8	reviewed	ATPF_VAULI	ATP synthase subunit b, chloroplastic (ATP synthase F(0) sector subunit b) (ATPase subunit I)	atpF	Vaucheria litorea (Yellow-green alga)	178	GO:0009535; GO:0045263; GO:0046933
B7T1R9	reviewed	ATPF2_VAULI	ATP synthase subunit b', chloroplastic (ATP synthase F(0) sector subunit b') (ATPase subunit II)	atpF2 atpG	Vaucheria litorea (Yellow-green alga)	154	GO:0009535; GO:0045263; GO:0046933
B7T1S1	unreviewed	B7T1S1_VAULI	ATP synthase subunit a, chloroplastic (ATP synthase F0 sector subunit a) (F-ATPase subunit IV)	atpI	Vaucheria litorea (Yellow-green alga)	265	GO:0005886; GO:0009535; GO:0045263; GO:0046933
B7T1S2	unreviewed	B7T1S2_VAULI	Multifunctional fusion protein [Includes: Elongation factor Ts, chloroplastic (EF-Ts); Elongation factor Ts, mitochondrial (EF-TsMt)]	tsf	Vaucheria litorea (Yellow-green alga)	205	GO:0003746; GO:0005739; GO:0009507
B7T1S3	unreviewed	B7T1S3_VAULI	Small ribosomal subunit protein uS2c	rps2	Vaucheria litorea (Yellow-green alga)	236	GO:0003735; GO:0006412; GO:0009507; GO:0015935
B7T1S7	unreviewed	B7T1S7_VAULI	Small ribosomal subunit protein bS20c	rps20	Vaucheria litorea (Yellow-green alga)	92	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843; GO:1990904
B7T1S8	unreviewed	B7T1S8_VAULI	Photosystem I reaction center subunit III (PSI-F)	psaF	Vaucheria litorea (Yellow-green alga)	185	GO:0009507; GO:0009538; GO:0015979
B7T1S9	unreviewed	B7T1S9_VAULI	Photosystem I reaction center subunit IX (PSI-J)	psaJ	Vaucheria litorea (Yellow-green alga)	42	GO:0009522; GO:0009535; GO:0015979
B7T1T4	unreviewed	B7T1T4_VAULI	Small ribosomal subunit protein bS16c	rps16	Vaucheria litorea (Yellow-green alga)	83	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:1990904
B7T1T6	unreviewed	B7T1T6_VAULI	Small ribosomal subunit protein uS4c	rps4	Vaucheria litorea (Yellow-green alga)	204	GO:0003735; GO:0006412; GO:0009507; GO:0015935; GO:0019843
B7T1T7	unreviewed	B7T1T7_VAULI	Cytochrome b6	petB	Vaucheria litorea (Yellow-green alga)	215	GO:0009535; GO:0015979; GO:0022904; GO:0045158; GO:0046872
B7T1T8	unreviewed	B7T1T8_VAULI	Cytochrome b6-f complex subunit 4 (17 kDa polypeptide)	petD	Vaucheria litorea (Yellow-green alga)	160	GO:0009535; GO:0009767; GO:0045156; GO:0045158
B7T1U0	unreviewed	B7T1U0_VAULI	Acetolactate synthase (EC 2.2.1.6)	ilvB	Vaucheria litorea (Yellow-green alga)	590	GO:0000287; GO:0003984; GO:0009097; GO:0009099; GO:0009507; GO:0030976; GO:0050660
B7T1U3	unreviewed	B7T1U3_VAULI	Photosystem II reaction center Psb28 protein (Photosystem II 13 kDa protein) (Photosystem II reaction center W protein)	psb28 psbW	Vaucheria litorea (Yellow-green alga)	114	GO:0009535; GO:0009654; GO:0015979
B7T1U4	unreviewed	B7T1U4_VAULI	Large ribosomal subunit protein bL9c	rpl9	Vaucheria litorea (Yellow-green alga)	156	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843; GO:1990904
B7T1U5	unreviewed	B7T1U5_VAULI	Replicative DNA helicase (EC 3.6.4.12)	dnaB	Vaucheria litorea (Yellow-green alga)	447	GO:0003677; GO:0003678; GO:0005524; GO:0006269; GO:0009507; GO:0016887
B7T1U6	unreviewed	B7T1U6_VAULI	Large ribosomal subunit protein uL11c	rpl11	Vaucheria litorea (Yellow-green alga)	140	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0070180; GO:1990904
B7T1U7	unreviewed	B7T1U7_VAULI	Large ribosomal subunit protein uL1c	rpl1	Vaucheria litorea (Yellow-green alga)	228	GO:0003735; GO:0006412; GO:0009507; GO:0015934; GO:0019843
B7T1U8	unreviewed	B7T1U8_VAULI	Large ribosomal subunit protein bL12c	rpl12	Vaucheria litorea (Yellow-green alga)	128	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:1990904
B7T1V1	unreviewed	B7T1V1_VAULI	Photosystem II CP47 reaction center protein (PSII 47 kDa protein) (Protein CP-47)	psbB	Vaucheria litorea (Yellow-green alga)	509	GO:0009523; GO:0009535; GO:0009772; GO:0016168; GO:0045156
B7T1V2	unreviewed	B7T1V2_VAULI	Photosystem II reaction center protein T (PSII-T)	psbT	Vaucheria litorea (Yellow-green alga)	32	GO:0009535; GO:0009539; GO:0015979
B7T1V3	unreviewed	B7T1V3_VAULI	Protein PsbN	psbN	Vaucheria litorea (Yellow-green alga)	43	GO:0009535; GO:0015979
B7T1V4	unreviewed	B7T1V4_VAULI	Photosystem II reaction center protein H (PSII-H)	psbH	Vaucheria litorea (Yellow-green alga)	66	GO:0009523; GO:0009535; GO:0015979; GO:0042301; GO:0050821
B7T1V5	unreviewed	B7T1V5_VAULI	Ferredoxin	petF	Vaucheria litorea (Yellow-green alga)	103	GO:0009055; GO:0009507; GO:0046872; GO:0051537
B7T1V6	unreviewed	B7T1V6_VAULI	Small ribosomal subunit protein uS10c	rps10	Vaucheria litorea (Yellow-green alga)	111	GO:0000049; GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:1990904
B7T1V7	unreviewed	B7T1V7_VAULI	Elongation factor Tu, chloroplastic (EF-Tu)	tufA	Vaucheria litorea (Yellow-green alga)	410	GO:0003746; GO:0003924; GO:0005525; GO:0009507
B7T1V8	unreviewed	B7T1V8_VAULI	Small ribosomal subunit protein uS7c	rps7	Vaucheria litorea (Yellow-green alga)	158	GO:0003735; GO:0006412; GO:0009507; GO:0015935; GO:0019843
B7T1V9	unreviewed	B7T1V9_VAULI	Small ribosomal subunit protein uS12c	rps12	Vaucheria litorea (Yellow-green alga)	126	GO:0003735; GO:0006412; GO:0009507; GO:0015935; GO:0019843
B7T1W0	unreviewed	B7T1W0_VAULI	Large ribosomal subunit protein bL31c	rpl31	Vaucheria litorea (Yellow-green alga)	72	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843; GO:1990904
B7T1W1	unreviewed	B7T1W1_VAULI	Small ribosomal subunit protein uS9c	rps9	Vaucheria litorea (Yellow-green alga)	140	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:1990904
B7T1W2	unreviewed	B7T1W2_VAULI	Large ribosomal subunit protein uL13c	rpl13	Vaucheria litorea (Yellow-green alga)	141	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:1990904
B7T1W4	unreviewed	B7T1W4_VAULI	Small ribosomal subunit protein uS11c	rps11	Vaucheria litorea (Yellow-green alga)	126	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843; GO:1990904
B7T1W5	unreviewed	B7T1W5_VAULI	Small ribosomal subunit protein uS13c	rps13	Vaucheria litorea (Yellow-green alga)	126	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843; GO:1990904
B7T1W6	unreviewed	B7T1W6_VAULI	Large ribosomal subunit protein bL36c	rpl36	Vaucheria litorea (Yellow-green alga)	37	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:1990904
B7T1W7	reviewed	SECY_VAULI	Protein translocase subunit SecY	secY	Vaucheria litorea (Yellow-green alga)	436	GO:0006605; GO:0009535; GO:0065002
B7T1W8	unreviewed	B7T1W8_VAULI	Small ribosomal subunit protein uS5c	rps5	Vaucheria litorea (Yellow-green alga)	189	GO:0003735; GO:0006412; GO:0009507; GO:0015935; GO:0019843
B7T1W9	unreviewed	B7T1W9_VAULI	Large ribosomal subunit protein uL18c	rpl18	Vaucheria litorea (Yellow-green alga)	109	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843; GO:1990904
B7T1X0	unreviewed	B7T1X0_VAULI	Large ribosomal subunit protein uL6c	rpl6	Vaucheria litorea (Yellow-green alga)	178	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843; GO:1990904
B7T1X1	unreviewed	B7T1X1_VAULI	Small ribosomal subunit protein uS8c	rps8	Vaucheria litorea (Yellow-green alga)	132	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843; GO:1990904
B7T1X2	unreviewed	B7T1X2_VAULI	Large ribosomal subunit protein uL5c	rpl5	Vaucheria litorea (Yellow-green alga)	185	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843; GO:1990904
B7T1X3	unreviewed	B7T1X3_VAULI	Large ribosomal subunit protein uL24c	rpl24	Vaucheria litorea (Yellow-green alga)	83	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843; GO:1990904
B7T1X4	unreviewed	B7T1X4_VAULI	Large ribosomal subunit protein uL14c	rpl14	Vaucheria litorea (Yellow-green alga)	121	GO:0003735; GO:0006412; GO:0009507; GO:0015934; GO:0019843
B7T1X5	unreviewed	B7T1X5_VAULI	Small ribosomal subunit protein uS17c	rps17	Vaucheria litorea (Yellow-green alga)	84	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843; GO:1990904
B7T1X6	unreviewed	B7T1X6_VAULI	Large ribosomal subunit protein uL29c	rpl29	Vaucheria litorea (Yellow-green alga)	68	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:1990904
B7T1X7	unreviewed	B7T1X7_VAULI	Large ribosomal subunit protein uL16c	rpl16	Vaucheria litorea (Yellow-green alga)	140	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843; GO:1990904
B7T1X8	unreviewed	B7T1X8_VAULI	Small ribosomal subunit protein uS3c	rps3	Vaucheria litorea (Yellow-green alga)	216	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843; GO:1990904
B7T1X9	unreviewed	B7T1X9_VAULI	Large ribosomal subunit protein uL22c	rpl22	Vaucheria litorea (Yellow-green alga)	115	GO:0003735; GO:0006412; GO:0009507; GO:0015934; GO:0019843
B7T1Y0	unreviewed	B7T1Y0_VAULI	Small ribosomal subunit protein uS19c	rps19	Vaucheria litorea (Yellow-green alga)	96	GO:0003735; GO:0006412; GO:0009507; GO:0015935; GO:0019843
B7T1Y1	unreviewed	B7T1Y1_VAULI	Large ribosomal subunit protein uL2c	rpl2	Vaucheria litorea (Yellow-green alga)	275	GO:0003735; GO:0006412; GO:0009507; GO:0015934; GO:0016740; GO:0019843
B7T1Y2	unreviewed	B7T1Y2_VAULI	Large ribosomal subunit protein uL23c	rpl23	Vaucheria litorea (Yellow-green alga)	100	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843; GO:1990904
B7T1Y3	unreviewed	B7T1Y3_VAULI	Large ribosomal subunit protein uL4c	rpl4	Vaucheria litorea (Yellow-green alga)	220	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843; GO:1990904
B7T1Y4	unreviewed	B7T1Y4_VAULI	Large ribosomal subunit protein uL3c	rpl3	Vaucheria litorea (Yellow-green alga)	196	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843; GO:1990904
B7T1Y5	unreviewed	B7T1Y5_VAULI	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK	Vaucheria litorea (Yellow-green alga)	624	GO:0005524; GO:0009507; GO:0051082; GO:0140662
B7T1Y6	unreviewed	B7T1Y6_VAULI	Acetolactate synthase small subunit	ilvH	Vaucheria litorea (Yellow-green alga)	208	GO:0009097; GO:0009099; GO:0009507; GO:1990610
B7T1Y7	unreviewed	B7T1Y7_VAULI	Large ribosomal subunit protein bL20c	rpl20	Vaucheria litorea (Yellow-green alga)	115	GO:0000027; GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843; GO:1990904
B7T1Y8	unreviewed	B7T1Y8_VAULI	Large ribosomal subunit protein bL35c	rpl35	Vaucheria litorea (Yellow-green alga)	66	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:1990904
B7T1Z9	unreviewed	B7T1Z9_VAULI	Cytochrome c biogenesis protein CcsA	ccsA	Vaucheria litorea (Yellow-green alga)	303	GO:0009535; GO:0017004; GO:0020037
B7T201	unreviewed	B7T201_VAULI	Photosystem II reaction center protein I (PSII-I) (PSII 4.8 kDa protein)	psbI	Vaucheria litorea (Yellow-green alga)	38	GO:0009535; GO:0009539; GO:0015979
B7T202	unreviewed	B7T202_VAULI	Large ribosomal subunit protein bL19c	rpl19	Vaucheria litorea (Yellow-green alga)	124	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:1990904
B7T205	unreviewed	B7T205_VAULI	Cytochrome c biogenesis protein Ccs1	ycf44 ccs1	Vaucheria litorea (Yellow-green alga)	433	GO:0009535; GO:0017004
B7T206	unreviewed	B7T206_VAULI	Cytochrome c-553 (Cytochrome c553) (Soluble cytochrome f)	petJ	Vaucheria litorea (Yellow-green alga)	113	GO:0005506; GO:0009055; GO:0009543; GO:0020037
B7T209	unreviewed	B7T209_VAULI	Photosystem II reaction center X protein	psbX	Vaucheria litorea (Yellow-green alga)	39	GO:0009523; GO:0009535; GO:0015979
B7T210	unreviewed	B7T210_VAULI	Photosystem I reaction center subunit XI (PSI subunit V) (PSI-L)	psaL	Vaucheria litorea (Yellow-green alga)	149	GO:0009535; GO:0009538; GO:0015979
B7T211	unreviewed	B7T211_VAULI	Cytochrome b6-f complex subunit 6 (Cytochrome b6-f complex subunit PetL) (Cytochrome b6-f complex subunit VI)	petL	Vaucheria litorea (Yellow-green alga)	27	GO:0009055; GO:0009507; GO:0009512; GO:0016020
B7T212	unreviewed	B7T212_VAULI	Photosystem I assembly protein Ycf4	ycf4	Vaucheria litorea (Yellow-green alga)	185	GO:0009522; GO:0009535; GO:0015979
B7T215	unreviewed	B7T215_VAULI	Photosystem II reaction center protein L (PSII-L)	psbL	Vaucheria litorea (Yellow-green alga)	38	GO:0009535; GO:0009539; GO:0015979
B7T216	unreviewed	B7T216_VAULI	Photosystem II reaction center protein J (PSII-J)	psbJ	Vaucheria litorea (Yellow-green alga)	39	GO:0009535; GO:0009539; GO:0015979
B7T217	unreviewed	B7T217_VAULI	Photosystem I reaction center subunit VIII (PSI-I)	psaI	Vaucheria litorea (Yellow-green alga)	36	GO:0009522; GO:0009535; GO:0015979
B7T219	unreviewed	B7T219_VAULI	Photosystem II reaction center protein Ycf12	ycf12	Vaucheria litorea (Yellow-green alga)	33	GO:0009523; GO:0009535; GO:0015979
B7T220	unreviewed	B7T220_VAULI	Cytochrome b6-f complex subunit 5 (Cytochrome b6-f complex subunit PetG) (Cytochrome b6-f complex subunit V)	petG	Vaucheria litorea (Yellow-green alga)	37	GO:0009512; GO:0009535; GO:0015979; GO:0017004; GO:0045158
B7T221	unreviewed	B7T221_VAULI	Photosystem II reaction center protein K (PSII-K)	psbK	Vaucheria litorea (Yellow-green alga)	44	GO:0009535; GO:0009539; GO:0015979
B7T222	unreviewed	B7T222_VAULI	Photosystem II reaction center protein Z (PSII-Z)	psbZ	Vaucheria litorea (Yellow-green alga)	62	GO:0009535; GO:0009539; GO:0015979; GO:0042549
B7T223	unreviewed	B7T223_VAULI	Thiazole synthase (EC 2.8.1.10)	thiG	Vaucheria litorea (Yellow-green alga)	275	GO:0009229; GO:0009507; GO:1990107
B7T226	unreviewed	B7T226_VAULI	Photosystem I reaction center subunit II	psaD	Vaucheria litorea (Yellow-green alga)	139	GO:0009535; GO:0009538; GO:0015979
B7T230	unreviewed	B7T230_VAULI	Cytochrome b6-f complex subunit 8 (Cytochrome b6-f complex subunit PetN) (Cytochrome b6-f complex subunit VIII)	petN	Vaucheria litorea (Yellow-green alga)	29	GO:0009512; GO:0009535; GO:0015979; GO:0017004; GO:0045158
B7T231	unreviewed	B7T231_VAULI	Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase (Mg-protoporphyrin IX monomethyl ester oxidative cyclase) (EC 1.14.13.81)	ycf59 acsF	Vaucheria litorea (Yellow-green alga)	354	GO:0005506; GO:0009507; GO:0015979; GO:0036068; GO:0048529
B7T233	unreviewed	B7T233_VAULI	Large ribosomal subunit protein bL34c	rpl34	Vaucheria litorea (Yellow-green alga)	49	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:1990904
B7T236	unreviewed	B7T236_VAULI	Large ribosomal subunit protein bL32c	rpl32	Vaucheria litorea (Yellow-green alga)	59	GO:0003735; GO:0006412; GO:0009507; GO:0015934
B7T237	unreviewed	B7T237_VAULI	Photosystem II protein Y	psbY	Vaucheria litorea (Yellow-green alga)	38	GO:0009523; GO:0009535; GO:0015979; GO:0030145
B7T238	unreviewed	B7T238_VAULI	Large ribosomal subunit protein bL27c	rpl27	Vaucheria litorea (Yellow-green alga)	81	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:1990904
B7T239	unreviewed	B7T239_VAULI	Large ribosomal subunit protein bL21c	rpl21	Vaucheria litorea (Yellow-green alga)	104	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843; GO:1990904
B7T240	unreviewed	B7T240_VAULI	Acyl carrier protein (ACP)	acpP	Vaucheria litorea (Yellow-green alga)	90	GO:0000036; GO:0009507
B7T243	unreviewed	B7T243_VAULI	Small ribosomal subunit protein uS14c	rps14	Vaucheria litorea (Yellow-green alga)	100	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843; GO:1990904
D5KBP7	unreviewed	D5KBP7_VAULI	Light harvesting complex protein 3	Lhcv3	Vaucheria litorea (Yellow-green alga)	147	GO:0009536; GO:0009765; GO:0016020; GO:0016168
D5KBQ1	unreviewed	D5KBQ1_VAULI	Light harvesting complex protein 4	Lhcv4	Vaucheria litorea (Yellow-green alga)	133	GO:0009536; GO:0009765; GO:0016020; GO:0016168
D5KBQ5	unreviewed	D5KBQ5_VAULI	Phosphoribulokinase (EC 2.7.1.19)	prk	Vaucheria litorea (Yellow-green alga)	100	GO:0005524; GO:0008974; GO:0016310; GO:0019253
D5KBQ6	unreviewed	D5KBQ6_ELYCH	Phosphoribulokinase (EC 2.7.1.19)	prk	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	100	GO:0005524; GO:0005975; GO:0008974; GO:0016310
D5KBQ9	unreviewed	D5KBQ9_ELYCH	Phosphoribulokinase (EC 2.7.1.19)	prk	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	100	GO:0005524; GO:0005975; GO:0008974; GO:0016310
D5KBR1	unreviewed	D5KBR1_ELYCH	Uroporphyrinogen decarboxylase (EC 4.1.1.37)	UroD	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	342	GO:0004853; GO:0006782
D7P7V5	unreviewed	D7P7V5_ELYCH	Uroporphyrinogen decarboxylase (EC 4.1.1.37)	uroD	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	342	GO:0004853; GO:0006782
G8IQH1	unreviewed	G8IQH1_ELYCH	Histone H3	H3	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	109	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
H6WB74	unreviewed	H6WB74_VAULI	Light-harvesting complex protein	lhc	Vaucheria litorea (Yellow-green alga)	273	GO:0009536; GO:0009765; GO:0016020; GO:0016168
H6WB75	unreviewed	H6WB75_VAULI	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)	CA_beta	Vaucheria litorea (Yellow-green alga)	309	GO:0004089; GO:0008270; GO:0015976
